Season,Team,Games,MP,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS
2003-04,CLE,79,39.5,0.417,0.29,0.438,0.754,1.3,4.2,5.9,1.6,0.7,3.5,20.9
2004-05,CLE,80,42.4,0.472,0.351,0.499,0.75,1.4,6,7.2,2.2,0.7,3.3,27.2
2005-06,CLE,79,42.5,0.48,0.335,0.518,0.738,0.9,6.1,6.6,1.6,0.8,3.3,31.4
2006-07,CLE,78,40.9,0.476,0.319,0.513,0.698,1.1,5.7,6,1.6,0.7,3.2,27.3
2007-08,CLE,75,40.4,0.484,0.315,0.531,0.712,1.8,6.1,7.2,1.8,1.1,3.4,30
2008-09,CLE,81,37.7,0.489,0.344,0.535,0.78,1.3,6.3,7.2,1.7,1.1,3,28.4
2009-10,CLE,76,39,0.503,0.333,0.56,0.767,0.9,6.4,8.6,1.6,1,3.4,29.7
2010-11,MIA,79,38.8,0.51,0.33,0.552,0.759,1,6.5,7,1.6,0.6,3.6,26.7
2011-12,MIA,62,37.5,0.531,0.362,0.556,0.771,1.5,6.4,6.2,1.9,0.8,3.4,27.1
2012-13,MIA,76,37.9,0.565,0.406,0.602,0.753,1.3,6.8,7.3,1.7,0.9,3,26.8
2013-14,MIA,77,37.7,0.567,0.379,0.622,0.75,1.1,5.9,6.3,1.6,0.3,3.5,27.1
2014-15,CLE,69,36.1,0.488,0.354,0.536,0.71,0.7,5.3,7.4,1.6,0.7,3.9,25.3
2015-16,CLE,76,35.6,0.52,0.309,0.573,0.731,1.5,6,6.8,1.4,0.6,3.3,25.3
2016-17,CLE,74,37.8,0.548,0.363,0.611,0.674,1.3,7.3,8.7,1.2,0.6,4.1,26.4
2017-18,CLE,82,36.9,0.542,0.367,0.603,0.731,1.2,7.5,9.1,1.4,0.9,4.2,27.5
2018-19,LAL,55,35.2,0.51,0.339,0.582,0.665,1,7.4,8.3,1.3,0.6,3.6,27.4
2019-20,LAL,60,34.9,0.498,0.349,0.57,0.697,1,6.9,10.6,1.2,0.5,4,25
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Data Extracted from -> https://www.basketball-reference.com/players/j/jamesle01.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Number of Seasons - >,17,Equation used -> COUNTA(A2:A18),,,,,,,,,,,
,,,,,,,,,,,,,,
,Number of Data Items/season ->,15,Equation used -> COUNTA(A2:O2),,,,,,,,,,,
,,,,,,,,,,,,,,
,Created by Amir Hajjari on 5-20-20,,,,,,,,,,,,,
