Date,Close,Volume,Volume Adjusted * E^6
1/1/2010,264,178867200,179
2/1/2010,262,104456600,104
3/1/2010,283,168175200,168
4/1/2010,262,146668000,147
5/1/2010,242,163731700,164
6/1/2010,222,120172800,120
7/1/2010,242,139137800,139
8/1/2010,224,106104600,106
9/1/2010,262,119847700,120
10/1/2010,306,159288700,159
11/1/2010,277,117319800,117
12/1/2010,296,84885300,85
1/1/2011,299,120416700,120
2/1/2011,306,84049700,84
3/1/2011,292,120726500,121
4/1/2011,271,141007800,141
5/1/2011,264,90993400,91
6/1/2011,252,118691200,119
7/1/2011,301,162716400,163
8/1/2011,269,214349100,214
9/1/2011,257,117696900,118
10/1/2011,295,155007600,155
11/1/2011,299,121050800,121
12/1/2011,322,110505700,111
1/1/2012,289,147835300,148
2/1/2012,308,95082200,95
3/1/2012,319,95012700,95
4/1/2012,301,118194700,118
5/1/2012,289,117784500,118
6/1/2012,289,93355200,93
7/1/2012,315,102955500,103
8/1/2012,341,94477000,94
9/1/2012,376,120804300,121
10/1/2012,339,144134100,144
11/1/2012,348,93706000,94
12/1/2012,352,83701600,84
1/1/2013,376,105201100,105
2/1/2013,399,93026400,93
3/1/2013,396,85414700,85
4/1/2013,411,107503200,108
5/1/2013,434,99202800,99
6/1/2013,439,97523400,98
7/1/2013,442,102872800,103
8/1/2013,422,67223100,67
9/1/2013,436,66492900,66
10/1/2013,513,110860700,111
11/1/2013,528,52707900,53
12/1/2013,558,67938100,68
1/1/2014,588,109429900,109
2/1/2014,606,81394600,81
3/1/2014,555,71661200,72
4/1/2014,525,67354600,67
5/1/2014,558,36627000,37
6/1/2014,574,38001500,38
7/1/2014,570,34609700,35
8/1/2014,570,27658100,28
9/1/2014,576,33516300,34
10/1/2014,558,52162200,52
11/1/2014,540,28519700,29
12/1/2014,525,45863800,46
1/1/2015,533,50227200,50
2/1/2015,557,32594400,33
3/1/2015,546,38647600,39
4/1/2015,537,42376700,42
5/1/2015,532,31865900,32
6/1/2015,521,34320500,34
7/1/2015,626,63319000,63
8/1/2015,638,61434900,61
9/1/2015,608,47955000,48
10/1/2015,711,49438600,49
11/1/2015,743,33934800,34
12/1/2015,759,43100300,43
1/1/2016,743,46561200,47
2/1/2016,698,64367000,64
3/1/2016,745,41742400,42
4/1/2016,693,42154000,42
5/1/2016,736,34996500,35
6/1/2016,692,39362500,39
7/1/2016,769,29914800,30
8/1/2016,767,26385400,26
9/1/2016,777,27551400,28
10/1/2016,785,33956300,34
11/1/2016,758,42642200,43
12/1/2016,772,32097300,32
1/1/2017,797,33200100,33
2/1/2017,823,25683600,26
3/1/2017,830,33835100,34
4/1/2017,906,25218700,25
5/1/2017,965,32180100,32
6/1/2017,909,43587600,44
7/1/2017,931,36679200,37
8/1/2017,939,27958000,28
9/1/2017,959,28053800,28
10/1/2017,1017,31779700,32
11/1/2017,1021,24265500,24
12/1/2017,1046,28163700,28
1/1/2018,1170,28738400,29
2/1/2018,1105,42382000,42
3/1/2018,1032,45353300,45
4/1/2018,1017,41715900,42
5/1/2018,1085,31849400,32
6/1/2018,1116,32096000,32
7/1/2018,1217,31940100,32
8/1/2018,1218,28808400,29
9/1/2018,1193,28862400,29
10/1/2018,1077,48494700,48
11/1/2018,1094,36735100,37
12/1/2018,1036,40257600,40
1/1/2019,1116,30714000,31
2/1/2019,1120,28932700,29
3/1/2019,1173,31660000,32
4/1/2019,1188,27858700,28
5/1/2019,1104,33317400,33
6/1/2019,1081,34096800,34
7/1/2019,1217,32948400,33
8/1/2019,1188,28882400,29
9/1/2019,1219,26899400,27
10/1/2019,1260,28758300,29
11/1/2019,1305,24923400,25
12/1/2019,1337,27357100,27
